RUN	hammertime.GatlingSimulationTest	gatlingsimulationtest	1584632713760	 	3.3.1
USER	Slaying the dragon	1	START	1584632714566	1584632714566
USER	Slaying the dragon	2	START	1584632714623	1584632714623
USER	Slaying the dragon	3	START	1584632714673	1584632714673
USER	Slaying the dragon	4	START	1584632714724	1584632714724
USER	Slaying the dragon	5	START	1584632714772	1584632714772
USER	Slaying the dragon	6	START	1584632714824	1584632714824
USER	Slaying the dragon	7	START	1584632714875	1584632714875
USER	Slaying the dragon	8	START	1584632714923	1584632714923
USER	Slaying the dragon	9	START	1584632714973	1584632714973
USER	Slaying the dragon	10	START	1584632715025	1584632715025
USER	Slaying the dragon	11	START	1584632715075	1584632715075
USER	Slaying the dragon	12	START	1584632715124	1584632715124
USER	Slaying the dragon	13	START	1584632715172	1584632715172
USER	Slaying the dragon	14	START	1584632715223	1584632715223
USER	Slaying the dragon	15	START	1584632715283	1584632715283
USER	Slaying the dragon	16	START	1584632715333	1584632715333
USER	Slaying the dragon	17	START	1584632715384	1584632715384
USER	Slaying the dragon	18	START	1584632715432	1584632715432
USER	Slaying the dragon	19	START	1584632715484	1584632715484
USER	Slaying the dragon	20	START	1584632715534	1584632715534
USER	Slaying the dragon	21	START	1584632715583	1584632715583
REQUEST	1		Deferred attack	1584632714591	1584632715604	OK	 
USER	Slaying the dragon	1	END	1584632714566	1584632715623
USER	Slaying the dragon	22	START	1584632715632	1584632715632
REQUEST	2		Deferred attack	1584632714624	1584632715634	OK	 
USER	Slaying the dragon	2	END	1584632714623	1584632715663
REQUEST	3		Deferred attack	1584632714674	1584632715683	OK	 
USER	Slaying the dragon	23	START	1584632715683	1584632715683
USER	Slaying the dragon	3	END	1584632714673	1584632715702
USER	Slaying the dragon	24	START	1584632715732	1584632715732
REQUEST	4		Deferred attack	1584632714725	1584632715733	OK	 
USER	Slaying the dragon	4	END	1584632714724	1584632715764
REQUEST	5		Deferred attack	1584632714773	1584632715782	OK	 
USER	Slaying the dragon	25	START	1584632715783	1584632715783
USER	Slaying the dragon	5	END	1584632714772	1584632715802
REQUEST	6		Deferred attack	1584632714824	1584632715832	OK	 
USER	Slaying the dragon	26	START	1584632715833	1584632715833
USER	Slaying the dragon	6	END	1584632714824	1584632715853
USER	Slaying the dragon	27	START	1584632715882	1584632715882
REQUEST	7		Deferred attack	1584632714876	1584632715887	OK	 
USER	Slaying the dragon	7	END	1584632714875	1584632715914
REQUEST	8		Deferred attack	1584632714924	1584632715932	OK	 
USER	Slaying the dragon	28	START	1584632715933	1584632715933
USER	Slaying the dragon	8	END	1584632714923	1584632715962
REQUEST	9		Deferred attack	1584632714974	1584632715980	OK	 
USER	Slaying the dragon	29	START	1584632715985	1584632715985
USER	Slaying the dragon	9	END	1584632714973	1584632716002
USER	Slaying the dragon	30	START	1584632716034	1584632716034
REQUEST	10		Deferred attack	1584632715026	1584632716036	OK	 
USER	Slaying the dragon	10	END	1584632715025	1584632716063
USER	Slaying the dragon	31	START	1584632716085	1584632716085
REQUEST	11		Deferred attack	1584632715075	1584632716086	OK	 
USER	Slaying the dragon	11	END	1584632715075	1584632716114
USER	Slaying the dragon	32	START	1584632716134	1584632716134
REQUEST	12		Deferred attack	1584632715125	1584632716137	OK	 
USER	Slaying the dragon	12	END	1584632715124	1584632716164
REQUEST	13		Deferred attack	1584632715173	1584632716181	OK	 
USER	Slaying the dragon	33	START	1584632716183	1584632716183
USER	Slaying the dragon	13	END	1584632715172	1584632716202
REQUEST	14		Deferred attack	1584632715224	1584632716230	OK	 
USER	Slaying the dragon	34	START	1584632716234	1584632716234
USER	Slaying the dragon	14	END	1584632715223	1584632716255
USER	Slaying the dragon	35	START	1584632716283	1584632716283
REQUEST	15		Deferred attack	1584632715283	1584632716292	OK	 
USER	Slaying the dragon	15	END	1584632715283	1584632716314
USER	Slaying the dragon	36	START	1584632716333	1584632716333
REQUEST	16		Deferred attack	1584632715334	1584632716346	OK	 
USER	Slaying the dragon	16	END	1584632715333	1584632716373
USER	Slaying the dragon	37	START	1584632716384	1584632716384
REQUEST	17		Deferred attack	1584632715385	1584632716395	OK	 
USER	Slaying the dragon	17	END	1584632715384	1584632716422
USER	Slaying the dragon	38	START	1584632716433	1584632716433
REQUEST	18		Deferred attack	1584632715432	1584632716443	OK	 
USER	Slaying the dragon	18	END	1584632715432	1584632716474
USER	Slaying the dragon	39	START	1584632716484	1584632716484
REQUEST	19		Deferred attack	1584632715485	1584632716497	OK	 
USER	Slaying the dragon	19	END	1584632715484	1584632716523
