RUN	hammertime.GatlingSimulationTest	gatlingsimulationtest	1584634993229	 	3.3.1
USER	Slaying the dragon	1	START	1584634994024	1584634994024
USER	Slaying the dragon	2	START	1584634994082	1584634994082
USER	Slaying the dragon	3	START	1584634994132	1584634994132
USER	Slaying the dragon	4	START	1584634994182	1584634994182
USER	Slaying the dragon	5	START	1584634994232	1584634994232
USER	Slaying the dragon	6	START	1584634994282	1584634994282
USER	Slaying the dragon	7	START	1584634994331	1584634994331
USER	Slaying the dragon	8	START	1584634994383	1584634994383
USER	Slaying the dragon	9	START	1584634994431	1584634994431
USER	Slaying the dragon	10	START	1584634994481	1584634994481
USER	Slaying the dragon	11	START	1584634994531	1584634994531
USER	Slaying the dragon	12	START	1584634994581	1584634994581
USER	Slaying the dragon	13	START	1584634994631	1584634994631
USER	Slaying the dragon	14	START	1584634994682	1584634994682
USER	Slaying the dragon	15	START	1584634994731	1584634994731
USER	Slaying the dragon	16	START	1584634994781	1584634994781
USER	Slaying the dragon	17	START	1584634994832	1584634994832
USER	Slaying the dragon	18	START	1584634994881	1584634994881
USER	Slaying the dragon	19	START	1584634994940	1584634994940
USER	Slaying the dragon	20	START	1584634994992	1584634994992
USER	Slaying the dragon	21	START	1584634995040	1584634995040
REQUEST	1		Mystery attack	1584634994050	1584634995063	OK	 
USER	Slaying the dragon	1	END	1584634994024	1584634995083
REQUEST	2		Mystery attack	1584634994082	1584634995091	OK	 
USER	Slaying the dragon	22	START	1584634995091	1584634995091
USER	Slaying the dragon	2	END	1584634994082	1584634995123
REQUEST	3		Mystery attack	1584634994133	1584634995141	OK	 
USER	Slaying the dragon	23	START	1584634995142	1584634995142
USER	Slaying the dragon	3	END	1584634994132	1584634995173
USER	Slaying the dragon	24	START	1584634995191	1584634995191
REQUEST	4		Mystery attack	1584634994182	1584634995192	OK	 
USER	Slaying the dragon	4	END	1584634994182	1584634995223
REQUEST	5		Mystery attack	1584634994233	1584634995241	OK	 
USER	Slaying the dragon	25	START	1584634995242	1584634995242
USER	Slaying the dragon	5	END	1584634994232	1584634995273
REQUEST	6		Mystery attack	1584634994282	1584634995290	OK	 
USER	Slaying the dragon	26	START	1584634995291	1584634995291
USER	Slaying the dragon	6	END	1584634994282	1584634995310
REQUEST	7		Mystery attack	1584634994332	1584634995341	OK	 
USER	Slaying the dragon	27	START	1584634995342	1584634995342
USER	Slaying the dragon	7	END	1584634994331	1584634995362
USER	Slaying the dragon	28	START	1584634995390	1584634995390
REQUEST	8		Mystery attack	1584634994383	1584634995392	OK	 
USER	Slaying the dragon	8	END	1584634994383	1584634995422
REQUEST	9		Mystery attack	1584634994432	1584634995441	OK	 
USER	Slaying the dragon	29	START	1584634995441	1584634995441
USER	Slaying the dragon	9	END	1584634994431	1584634995470
REQUEST	10		Mystery attack	1584634994481	1584634995486	OK	 
USER	Slaying the dragon	30	START	1584634995492	1584634995492
USER	Slaying the dragon	10	END	1584634994481	1584634995511
REQUEST	11		Mystery attack	1584634994531	1584634995541	OK	 
USER	Slaying the dragon	31	START	1584634995541	1584634995541
USER	Slaying the dragon	11	END	1584634994531	1584634995571
USER	Slaying the dragon	32	START	1584634995590	1584634995590
REQUEST	12		Mystery attack	1584634994582	1584634995590	OK	 
USER	Slaying the dragon	12	END	1584634994581	1584634995621
REQUEST	13		Mystery attack	1584634994631	1584634995641	OK	 
USER	Slaying the dragon	33	START	1584634995641	1584634995641
USER	Slaying the dragon	13	END	1584634994631	1584634995672
REQUEST	14		Mystery attack	1584634994683	1584634995690	OK	 
USER	Slaying the dragon	34	START	1584634995690	1584634995690
USER	Slaying the dragon	14	END	1584634994682	1584634995723
REQUEST	15		Mystery attack	1584634994731	1584634995739	OK	 
USER	Slaying the dragon	35	START	1584634995742	1584634995742
USER	Slaying the dragon	15	END	1584634994731	1584634995762
REQUEST	16		Mystery attack	1584634994782	1584634995790	OK	 
USER	Slaying the dragon	36	START	1584634995792	1584634995792
USER	Slaying the dragon	16	END	1584634994781	1584634995812
USER	Slaying the dragon	37	START	1584634995841	1584634995841
REQUEST	17		Mystery attack	1584634994833	1584634995842	OK	 
USER	Slaying the dragon	17	END	1584634994832	1584634995873
REQUEST	18		Mystery attack	1584634994882	1584634995891	OK	 
USER	Slaying the dragon	38	START	1584634995891	1584634995891
USER	Slaying the dragon	18	END	1584634994881	1584634995922
USER	Slaying the dragon	39	START	1584634995942	1584634995942
REQUEST	19		Mystery attack	1584634994941	1584634995951	OK	 
USER	Slaying the dragon	19	END	1584634994940	1584634995973
USER	Slaying the dragon	40	START	1584634995992	1584634995992
REQUEST	20		Mystery attack	1584634994992	1584634996000	OK	 
USER	Slaying the dragon	20	END	1584634994992	1584634996023
USER	Slaying the dragon	41	START	1584634996040	1584634996040
REQUEST	21		Mystery attack	1584634995041	1584634996049	OK	 
USER	Slaying the dragon	21	END	1584634995040	1584634996073
USER	Slaying the dragon	42	START	1584634996083	1584634996083
REQUEST	22		Mystery attack	1584634995092	1584634996104	OK	 
USER	Slaying the dragon	22	END	1584634995091	1584634996132
USER	Slaying the dragon	43	START	1584634996132	1584634996132
REQUEST	23		Mystery attack	1584634995142	1584634996151	OK	 
USER	Slaying the dragon	23	END	1584634995142	1584634996173
USER	Slaying the dragon	44	START	1584634996182	1584634996182
REQUEST	24		Mystery attack	1584634995192	1584634996200	OK	 
USER	Slaying the dragon	24	END	1584634995191	1584634996222
USER	Slaying the dragon	45	START	1584634996231	1584634996231
REQUEST	25		Mystery attack	1584634995243	1584634996252	OK	 
USER	Slaying the dragon	25	END	1584634995242	1584634996281
USER	Slaying the dragon	46	START	1584634996281	1584634996281
REQUEST	26		Mystery attack	1584634995292	1584634996300	OK	 
USER	Slaying the dragon	26	END	1584634995291	1584634996331
USER	Slaying the dragon	47	START	1584634996331	1584634996331
REQUEST	27		Mystery attack	1584634995342	1584634996352	OK	 
USER	Slaying the dragon	27	END	1584634995342	1584634996382
USER	Slaying the dragon	48	START	1584634996382	1584634996382
REQUEST	28		Mystery attack	1584634995391	1584634996397	OK	 
USER	Slaying the dragon	28	END	1584634995390	1584634996424
USER	Slaying the dragon	49	START	1584634996433	1584634996433
REQUEST	29		Mystery attack	1584634995442	1584634996452	OK	 
USER	Slaying the dragon	29	END	1584634995441	1584634996483
USER	Slaying the dragon	50	START	1584634996483	1584634996483
REQUEST	30		Mystery attack	1584634995492	1584634996500	OK	 
USER	Slaying the dragon	30	END	1584634995492	1584634996523
USER	Slaying the dragon	51	START	1584634996533	1584634996533
REQUEST	31		Mystery attack	1584634995542	1584634996550	OK	 
USER	Slaying the dragon	31	END	1584634995541	1584634996573
USER	Slaying the dragon	52	START	1584634996583	1584634996583
REQUEST	32		Mystery attack	1584634995591	1584634996596	OK	 
USER	Slaying the dragon	32	END	1584634995590	1584634996621
USER	Slaying the dragon	53	START	1584634996631	1584634996631
REQUEST	33		Mystery attack	1584634995642	1584634996647	OK	 
USER	Slaying the dragon	33	END	1584634995641	1584634996673
USER	Slaying the dragon	54	START	1584634996681	1584634996681
REQUEST	34		Mystery attack	1584634995691	1584634996699	OK	 
USER	Slaying the dragon	34	END	1584634995690	1584634996721
USER	Slaying the dragon	55	START	1584634996732	1584634996732
REQUEST	35		Mystery attack	1584634995743	1584634996749	OK	 
USER	Slaying the dragon	35	END	1584634995742	1584634996773
USER	Slaying the dragon	56	START	1584634996782	1584634996782
REQUEST	36		Mystery attack	1584634995792	1584634996797	OK	 
USER	Slaying the dragon	36	END	1584634995792	1584634996823
USER	Slaying the dragon	57	START	1584634996830	1584634996830
REQUEST	37		Mystery attack	1584634995841	1584634996846	OK	 
USER	Slaying the dragon	37	END	1584634995841	1584634996871
USER	Slaying the dragon	58	START	1584634996881	1584634996881
REQUEST	38		Mystery attack	1584634995892	1584634996900	OK	 
USER	Slaying the dragon	38	END	1584634995891	1584634996923
USER	Slaying the dragon	59	START	1584634996932	1584634996932
REQUEST	39		Mystery attack	1584634995942	1584634996949	OK	 
USER	Slaying the dragon	39	END	1584634995942	1584634996971
USER	Slaying the dragon	60	START	1584634996982	1584634996982
REQUEST	40		Mystery attack	1584634995992	1584634997000	OK	 
USER	Slaying the dragon	40	END	1584634995992	1584634997021
USER	Slaying the dragon	61	START	1584634997033	1584634997033
REQUEST	41		Mystery attack	1584634996041	1584634997047	OK	 
USER	Slaying the dragon	41	END	1584634996040	1584634997073
USER	Slaying the dragon	62	START	1584634997081	1584634997081
REQUEST	42		Mystery attack	1584634996083	1584634997093	OK	 
USER	Slaying the dragon	42	END	1584634996083	1584634997121
USER	Slaying the dragon	63	START	1584634997131	1584634997131
REQUEST	43		Mystery attack	1584634996132	1584634997141	OK	 
USER	Slaying the dragon	43	END	1584634996132	1584634997162
USER	Slaying the dragon	64	START	1584634997181	1584634997181
REQUEST	44		Mystery attack	1584634996183	1584634997191	OK	 
USER	Slaying the dragon	44	END	1584634996182	1584634997221
USER	Slaying the dragon	65	START	1584634997232	1584634997232
REQUEST	45		Mystery attack	1584634996231	1584634997236	OK	 
USER	Slaying the dragon	45	END	1584634996231	1584634997263
USER	Slaying the dragon	66	START	1584634997283	1584634997283
REQUEST	46		Mystery attack	1584634996281	1584634997290	OK	 
USER	Slaying the dragon	46	END	1584634996281	1584634997311
USER	Slaying the dragon	67	START	1584634997330	1584634997330
REQUEST	47		Mystery attack	1584634996332	1584634997336	OK	 
USER	Slaying the dragon	47	END	1584634996331	1584634997360
USER	Slaying the dragon	68	START	1584634997382	1584634997382
REQUEST	48		Mystery attack	1584634996383	1584634997391	OK	 
USER	Slaying the dragon	48	END	1584634996382	1584634997411
USER	Slaying the dragon	69	START	1584634997431	1584634997431
REQUEST	49		Mystery attack	1584634996433	1584634997443	OK	 
USER	Slaying the dragon	49	END	1584634996433	1584634997473
USER	Slaying the dragon	70	START	1584634997481	1584634997481
REQUEST	50		Mystery attack	1584634996484	1584634997492	OK	 
USER	Slaying the dragon	50	END	1584634996483	1584634997523
USER	Slaying the dragon	71	START	1584634997533	1584634997533
REQUEST	51		Mystery attack	1584634996533	1584634997541	OK	 
USER	Slaying the dragon	51	END	1584634996533	1584634997573
USER	Slaying the dragon	72	START	1584634997581	1584634997581
REQUEST	52		Mystery attack	1584634996584	1584634997592	OK	 
USER	Slaying the dragon	52	END	1584634996583	1584634997623
USER	Slaying the dragon	73	START	1584634997631	1584634997631
REQUEST	53		Mystery attack	1584634996631	1584634997638	OK	 
USER	Slaying the dragon	53	END	1584634996631	1584634997662
USER	Slaying the dragon	74	START	1584634997680	1584634997680
REQUEST	54		Mystery attack	1584634996681	1584634997687	OK	 
USER	Slaying the dragon	54	END	1584634996681	1584634997712
USER	Slaying the dragon	75	START	1584634997731	1584634997731
REQUEST	55		Mystery attack	1584634996732	1584634997739	OK	 
USER	Slaying the dragon	55	END	1584634996732	1584634997761
USER	Slaying the dragon	76	START	1584634997782	1584634997782
REQUEST	56		Mystery attack	1584634996783	1584634997791	OK	 
USER	Slaying the dragon	56	END	1584634996782	1584634997823
USER	Slaying the dragon	77	START	1584634997831	1584634997831
REQUEST	57		Mystery attack	1584634996831	1584634997835	OK	 
USER	Slaying the dragon	57	END	1584634996830	1584634997863
USER	Slaying the dragon	78	START	1584634997880	1584634997880
REQUEST	58		Mystery attack	1584634996882	1584634997885	OK	 
USER	Slaying the dragon	58	END	1584634996881	1584634997911
USER	Slaying the dragon	79	START	1584634997931	1584634997931
REQUEST	59		Mystery attack	1584634996932	1584634997940	OK	 
USER	Slaying the dragon	59	END	1584634996932	1584634997960
USER	Slaying the dragon	80	START	1584634997980	1584634997980
REQUEST	60		Mystery attack	1584634996983	1584634997991	OK	 
USER	Slaying the dragon	60	END	1584634996982	1584634998023
USER	Slaying the dragon	81	START	1584634998030	1584634998030
REQUEST	61		Mystery attack	1584634997033	1584634998041	OK	 
USER	Slaying the dragon	61	END	1584634997033	1584634998072
USER	Slaying the dragon	82	START	1584634998083	1584634998083
REQUEST	62		Mystery attack	1584634997081	1584634998087	OK	 
USER	Slaying the dragon	62	END	1584634997081	1584634998111
USER	Slaying the dragon	83	START	1584634998131	1584634998131
REQUEST	63		Mystery attack	1584634997132	1584634998139	OK	 
USER	Slaying the dragon	63	END	1584634997131	1584634998160
USER	Slaying the dragon	84	START	1584634998181	1584634998181
REQUEST	64		Mystery attack	1584634997182	1584634998191	OK	 
USER	Slaying the dragon	64	END	1584634997181	1584634998213
USER	Slaying the dragon	85	START	1584634998231	1584634998231
REQUEST	65		Mystery attack	1584634997232	1584634998239	OK	 
USER	Slaying the dragon	65	END	1584634997232	1584634998260
USER	Slaying the dragon	86	START	1584634998281	1584634998281
REQUEST	66		Mystery attack	1584634997283	1584634998291	OK	 
USER	Slaying the dragon	66	END	1584634997283	1584634998313
USER	Slaying the dragon	87	START	1584634998332	1584634998332
REQUEST	67		Mystery attack	1584634997331	1584634998336	OK	 
USER	Slaying the dragon	67	END	1584634997330	1584634998361
USER	Slaying the dragon	88	START	1584634998382	1584634998382
REQUEST	68		Mystery attack	1584634997382	1584634998390	OK	 
USER	Slaying the dragon	68	END	1584634997382	1584634998411
USER	Slaying the dragon	89	START	1584634998433	1584634998433
REQUEST	69		Mystery attack	1584634997432	1584634998439	OK	 
USER	Slaying the dragon	69	END	1584634997431	1584634998461
USER	Slaying the dragon	90	START	1584634998482	1584634998482
REQUEST	70		Mystery attack	1584634997481	1584634998487	OK	 
USER	Slaying the dragon	70	END	1584634997481	1584634998513
USER	Slaying the dragon	91	START	1584634998531	1584634998531
REQUEST	71		Mystery attack	1584634997533	1584634998537	OK	 
USER	Slaying the dragon	71	END	1584634997533	1584634998561
USER	Slaying the dragon	92	START	1584634998582	1584634998582
REQUEST	72		Mystery attack	1584634997581	1584634998588	OK	 
USER	Slaying the dragon	72	END	1584634997581	1584634998611
USER	Slaying the dragon	93	START	1584634998632	1584634998632
REQUEST	73		Mystery attack	1584634997631	1584634998638	OK	 
USER	Slaying the dragon	73	END	1584634997631	1584634998660
USER	Slaying the dragon	94	START	1584634998680	1584634998680
REQUEST	74		Mystery attack	1584634997681	1584634998686	OK	 
USER	Slaying the dragon	74	END	1584634997680	1584634998713
USER	Slaying the dragon	95	START	1584634998731	1584634998731
REQUEST	75		Mystery attack	1584634997731	1584634998738	OK	 
USER	Slaying the dragon	75	END	1584634997731	1584634998760
USER	Slaying the dragon	96	START	1584634998781	1584634998781
REQUEST	76		Mystery attack	1584634997782	1584634998789	OK	 
USER	Slaying the dragon	76	END	1584634997782	1584634998810
USER	Slaying the dragon	97	START	1584634998832	1584634998832
REQUEST	77		Mystery attack	1584634997831	1584634998836	OK	 
USER	Slaying the dragon	77	END	1584634997831	1584634998861
USER	Slaying the dragon	98	START	1584634998881	1584634998881
REQUEST	78		Mystery attack	1584634997880	1584634998887	OK	 
USER	Slaying the dragon	78	END	1584634997880	1584634998910
USER	Slaying the dragon	99	START	1584634998931	1584634998931
REQUEST	79		Mystery attack	1584634997931	1584634998938	OK	 
USER	Slaying the dragon	79	END	1584634997931	1584634998962
USER	Slaying the dragon	100	START	1584634998982	1584634998982
REQUEST	80		Mystery attack	1584634997980	1584634998986	OK	 
USER	Slaying the dragon	80	END	1584634997980	1584634999012
USER	Slaying the dragon	101	START	1584634999032	1584634999032
REQUEST	81		Mystery attack	1584634998031	1584634999037	OK	 
USER	Slaying the dragon	81	END	1584634998030	1584634999061
