RUN	hammertime.GatlingSimulationTest	gatlingsimulationtest	1584631304102	 	3.3.1
USER	Slaying the dragon	1	START	1584631304804	1584631304804
USER	Slaying the dragon	2	START	1584631304862	1584631304862
USER	Slaying the dragon	3	START	1584631304910	1584631304910
USER	Slaying the dragon	4	START	1584631304961	1584631304961
USER	Slaying the dragon	5	START	1584631305011	1584631305011
USER	Slaying the dragon	6	START	1584631305061	1584631305061
USER	Slaying the dragon	7	START	1584631305109	1584631305109
USER	Slaying the dragon	8	START	1584631305160	1584631305160
USER	Slaying the dragon	9	START	1584631305210	1584631305210
USER	Slaying the dragon	10	START	1584631305260	1584631305260
USER	Slaying the dragon	11	START	1584631305310	1584631305310
USER	Slaying the dragon	12	START	1584631305360	1584631305360
USER	Slaying the dragon	13	START	1584631305411	1584631305411
USER	Slaying the dragon	14	START	1584631305462	1584631305462
USER	Slaying the dragon	15	START	1584631305512	1584631305512
USER	Slaying the dragon	16	START	1584631305561	1584631305561
USER	Slaying the dragon	17	START	1584631305611	1584631305611
USER	Slaying the dragon	18	START	1584631305662	1584631305662
USER	Slaying the dragon	19	START	1584631305710	1584631305710
USER	Slaying the dragon	20	START	1584631305762	1584631305762
USER	Slaying the dragon	21	START	1584631305811	1584631305811
USER	Slaying the dragon	22	START	1584631305861	1584631305861
REQUEST	1		Blocking attack	1584631304832	1584631305848	OK	 
USER	Slaying the dragon	1	END	1584631304804	1584631305869
REQUEST	2		Blocking attack	1584631304862	1584631305873	OK	 
USER	Slaying the dragon	2	END	1584631304862	1584631305900
USER	Slaying the dragon	23	START	1584631305912	1584631305912
REQUEST	3		Blocking attack	1584631304910	1584631305919	OK	 
USER	Slaying the dragon	3	END	1584631304910	1584631305940
USER	Slaying the dragon	24	START	1584631305960	1584631305960
REQUEST	4		Blocking attack	1584631304961	1584631305967	OK	 
USER	Slaying the dragon	4	END	1584631304961	1584631305991
USER	Slaying the dragon	25	START	1584631306020	1584631306020
REQUEST	5		Blocking attack	1584631305011	1584631306022	OK	 
USER	Slaying the dragon	5	END	1584631305011	1584631306051
REQUEST	6		Blocking attack	1584631305062	1584631306070	OK	 
USER	Slaying the dragon	26	START	1584631306071	1584631306071
USER	Slaying the dragon	6	END	1584631305061	1584631306092
REQUEST	7		Blocking attack	1584631305110	1584631306118	OK	 
USER	Slaying the dragon	27	START	1584631306120	1584631306120
USER	Slaying the dragon	7	END	1584631305109	1584631306140
USER	Slaying the dragon	28	START	1584631306171	1584631306171
REQUEST	8		Blocking attack	1584631305160	1584631306173	OK	 
USER	Slaying the dragon	8	END	1584631305160	1584631306203
